19:32:18.778 INFO  AUTOMATION - Before all
19:32:18.955 INFO  AUTOMATION - Escenario 1
19:32:19.045 INFO  AUTOMATION - FAILED
19:32:19.065 INFO  AUTOMATION - Escenario 2
19:32:19.069 INFO  AUTOMATION - FAILED
19:32:19.073 INFO  AUTOMATION - Escenario 3
19:32:19.077 INFO  AUTOMATION - PASSED
19:32:19.084 INFO  AUTOMATION - Escenario compartido
19:32:19.087 INFO  AUTOMATION - PASSED
19:32:19.092 INFO  AUTOMATION - Escenario 1
19:32:19.094 INFO  AUTOMATION - PASSED
19:32:19.100 INFO  AUTOMATION - Escenario 2
19:32:19.107 INFO  AUTOMATION - PASSED
19:32:19.108 INFO  AUTOMATION - Escenario 3
19:32:19.112 INFO  AUTOMATION - PASSED
19:32:19.120 INFO  AUTOMATION - After all
